[trackB-stable-v5] start 2026-08-26T14:08:08+02:00
[trackB-stable-v5] cache=data/processed/lapai/teacher_k1_cache_full2020_2021.zarr resume=models/student_global_stable_v4.ckpt cfg=configs/student_global_v5.yaml -> models/student_global_stable_v5.ckpt
torch 2.5.1 cuda True dev NVIDIA H200
[Track B] config=configs/student_global_v5.yaml teacher_ckpt=models/teacher_pruned.ckpt (exists=True)
[Track B] target stats from cache c0:mean=0.000589/std=0.002058 c1:mean=1.009e+05/std=1394 c2:mean=278.9/std=21.1
[Track B] input stats from cache c0:mean=211.6/std=10.28 c1:mean=207.9/std=12.08 c2:mean=213/std=8.718 c3:mean=217.9/std=7.402 c4:mean=222.9/std=8.931 ...
[Track B] resumed model+heads from models/student_global_stable_v4.ckpt
[Track B] tp_logit_boost=0.0002 applied to head bias[0]
[Track B] channel_weights (tp,msl,2t)=[6.0, 0.25, 2.5]
[Track B] africa_mix=0.5 mask_frac=0.0945 tp_mode=softplus_soft precip_log1p_weight=6.0 wet_boost=12.0 underpred=4.0 pod=2.0 dry_collapse=1.0 normalize_inputs=True
[Track B] schedule feat@999 (β→0.0, ramp=1) spec@999 (γ→0.0, ramp=1) grad_clip=1.0 norm=True phys=True resume=models/student_global_stable_v4.ckpt
epoch 31 loss=8.090080 L_A=0.246868 L_B=0.000000 L_C=0.000000 L_tp=1.307202 beta_w=0.0000 gamma_w=0.0000 cache=data/processed/lapai/teacher_k1_cache_full2020_2021.zarr teacher=models/teacher_pruned.ckpt
epoch 32 loss=8.093615 L_A=0.247609 L_B=0.000000 L_C=0.000000 L_tp=1.307668 beta_w=0.0000 gamma_w=0.0000 cache=data/processed/lapai/teacher_k1_cache_full2020_2021.zarr teacher=models/teacher_pruned.ckpt
epoch 33 loss=8.070772 L_A=0.247132 L_B=0.000000 L_C=0.000000 L_tp=1.303940 beta_w=0.0000 gamma_w=0.0000 cache=data/processed/lapai/teacher_k1_cache_full2020_2021.zarr teacher=models/teacher_pruned.ckpt
epoch 34 loss=8.057306 L_A=0.246418 L_B=0.000000 L_C=0.000000 L_tp=1.301815 beta_w=0.0000 gamma_w=0.0000 cache=data/processed/lapai/teacher_k1_cache_full2020_2021.zarr teacher=models/teacher_pruned.ckpt
epoch 35 loss=8.083706 L_A=0.246837 L_B=0.000000 L_C=0.000000 L_tp=1.306145 beta_w=0.0000 gamma_w=0.0000 cache=data/processed/lapai/teacher_k1_cache_full2020_2021.zarr teacher=models/teacher_pruned.ckpt
epoch 36 loss=8.088002 L_A=0.246623 L_B=0.000000 L_C=0.000000 L_tp=1.306896 beta_w=0.0000 gamma_w=0.0000 cache=data/processed/lapai/teacher_k1_cache_full2020_2021.zarr teacher=models/teacher_pruned.ckpt
epoch 37 loss=8.083790 L_A=0.246734 L_B=0.000000 L_C=0.000000 L_tp=1.306176 beta_w=0.0000 gamma_w=0.0000 cache=data/processed/lapai/teacher_k1_cache_full2020_2021.zarr teacher=models/teacher_pruned.ckpt
epoch 38 loss=8.076203 L_A=0.246990 L_B=0.000000 L_C=0.000000 L_tp=1.304869 beta_w=0.0000 gamma_w=0.0000 cache=data/processed/lapai/teacher_k1_cache_full2020_2021.zarr teacher=models/teacher_pruned.ckpt
epoch 39 loss=8.073060 L_A=0.246641 L_B=0.000000 L_C=0.000000 L_tp=1.304403 beta_w=0.0000 gamma_w=0.0000 cache=data/processed/lapai/teacher_k1_cache_full2020_2021.zarr teacher=models/teacher_pruned.ckpt
epoch 40 loss=8.068596 L_A=0.246097 L_B=0.000000 L_C=0.000000 L_tp=1.303750 beta_w=0.0000 gamma_w=0.0000 cache=data/processed/lapai/teacher_k1_cache_full2020_2021.zarr teacher=models/teacher_pruned.ckpt
epoch 41 loss=8.057759 L_A=0.245978 L_B=0.000000 L_C=0.000000 L_tp=1.301963 beta_w=0.0000 gamma_w=0.0000 cache=data/processed/lapai/teacher_k1_cache_full2020_2021.zarr teacher=models/teacher_pruned.ckpt
